Time,Watts Total,Watts R Ph,Watts Y Ph,Watts B Ph,PF Ave,PF R Ph,PF Y Ph,PF B Ph,VLN average,V R Ph,V Y Ph,V B Ph,A average,A R Ph,A Y Ph,A B Ph,Frequency,Wh received,Load Hours Delivered,No of interruption,On Hours,V R Harmonics,V Y Harmonics,V B Harmonics,A R Harmonics,A Y Harmonics,A B Harmonics
2025-07-20 15:50:42,195.08,55.28,212.22,361.4,33.26,397.45,454.9,110.92,406.01,207.86,380.84,171.02,228.99,400.08,272.81,305.5,177.61,1.44,223.28,227.81,419.16,140.22,282.26,389.87,49.4,313.7,214.8
2025-07-20 15:50:53,61.99,211.68,426.76,401.48,250.7,442.06,75.32,350.18,407.04,291.35,365.83,342.21,152.32,138.01,321.4,124.01,266.2,99.42,473.94,411.52,178.26,147.42,292.16,24.02,119.45,165.68,405.34
2025-07-20 15:51:03,270.52,213.23,216.62,88.09,46.89,197.82,66.12,121.74,87.03,164.19,128.03,331.07,224.49,21.05,68.63,263.38,436.14,408.41,240.5,141.53,283.8,112.89,17.66,298.6,183.05,449.79,148.23
2025-07-20 15:51:13,41.73,128.23,181.54,238.33,151.89,245.87,72.33,421.93,88.87,418.8,298.97,453.18,460.68,282.93,390.03,196.75,139.62,469.35,449.59,188.48,250.85,210.72,3.4,480.8,182.33,260.21,39.41
2025-07-20 15:51:24,278.82,221.85,372.74,235.75,339.98,378.02,222.27,354.04,246.95,35.51,180.64,352.98,12.69,486.21,20.1,244.96,232.0,69.47,260.59,200.95,15.24,476.62,307.04,443.35,377.59,496.27,304.55
2025-07-20 15:51:34,121.29,25.11,146.58,406.62,280.88,104.7,86.09,261.42,284.19,34.82,194.39,68.11,424.86,324.29,442.73,62.47,385.75,65.4,55.84,147.76,76.39,244.92,292.42,200.41,406.43,314.98,337.63
2025-07-20 15:51:44,125.08,377.7,431.78,410.31,309.07,372.05,270.53,324.9,174.56,37.81,215.07,253.38,276.37,365.04,154.64,470.51,69.12,336.47,372.49,109.12,162.68,261.16,439.2,482.87,474.54,52.9,358.32
2025-07-20 15:51:55,444.63,411.56,281.01,448.52,359.38,21.53,234.47,396.89,62.54,371.8,377.32,468.3,349.66,346.7,136.9,159.14,399.11,411.69,353.88,137.81,336.48,182.02,71.14,446.84,407.52,279.08,490.84
2025-07-20 15:52:05,215.68,186.66,205.64,437.94,259.68,434.04,399.02,379.59,412.78,211.26,387.05,404.88,264.22,12.04,94.54,19.11,179.94,144.33,301.61,342.65,494.94,109.79,377.32,274.11,492.54,177.82,380.53
2025-07-20 15:52:15,56.32,273.28,60.09,124.71,290.72,114.07,112.15,111.91,36.24,468.08,476.11,115.58,401.9,255.14,1.64,342.39,399.43,471.56,215.15,228.04,342.69,122.15,257.64,112.01,255.5,233.71,211.98
2025-07-20 15:52:25,32.43,142.02,128.86,218.47,352.02,431.41,437.69,185.49,34.71,437.56,393.88,69.29,284.11,355.29,158.0,400.39,379.91,363.88,326.05,227.13,193.52,252.95,392.75,480.47,427.07,218.8,287.17
2025-07-20 15:52:36,398.76,430.52,108.22,205.83,327.13,91.67,188.95,6.56,301.68,58.81,198.51,313.77,310.87,75.11,73.76,17.38,232.19,6.52,469.57,348.96,464.99,36.46,39.85,135.82,87.33,339.37,285.39
2025-07-20 15:52:46,365.95,235.22,490.49,443.79,145.94,41.85,141.8,231.27,242.35,194.58,154.59,441.24,76.24,328.25,35.27,154.79,132.23,171.81,248.38,150.28,220.16,373.44,375.21,238.45,395.23,55.46,407.95
2025-07-20 15:52:56,176.56,414.63,305.7,458.45,58.27,116.09,460.36,21.99,12.08,25.76,119.69,270.53,137.26,274.78,245.64,369.43,404.04,115.08,240.64,279.43,121.26,482.27,108.76,440.27,404.47,173.11,154.34
2025-07-20 15:53:07,214.49,64.78,170.87,472.73,17.37,375.58,421.21,423.81,290.65,31.71,412.46,56.18,88.17,130.38,484.63,378.23,28.46,488.69,127.29,232.25,105.36,481.15,223.59,294.68,73.94,77.81,449.24
2025-07-20 15:53:17,57.47,139.74,295.9,293.65,480.94,104.43,327.68,224.83,227.68,476.95,408.47,134.09,19.42,271.35,378.7,90.3,42.53,256.1,410.68,493.19,31.91,161.67,52.69,109.14,66.56,354.13,454.04
2025-07-20 15:53:27,463.1,369.97,262.67,189.87,371.8,51.02,262.78,385.58,300.87,450.12,205.27,12.3,405.95,146.66,31.77,78.79,330.26,454.2,40.48,99.29,20.44,270.69,297.2,195.36,129.89,499.31,368.51
2025-07-20 15:53:38,366.47,478.88,369.59,443.62,476.84,117.33,190.09,480.37,227.48,357.27,243.15,403.22,181.68,86.91,200.63,461.54,353.34,251.86,406.48,11.4,209.78,336.72,223.61,57.82,404.95,62.26,474.51
